Month,Year,Activity,ProductionIndex
1,2013,Drink Production,70.7
1,2013,Tobacoo Products Production,49.5
1,2013,Textile Production,88.1
1,2013,Clothing Production,97.0
1,2013,Leather and Leater Item Production,87.1
1,2013,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",59.0
1,2013,Paper and Paper Products Production,83.0
1,2013,Printing and Duplication of Audio and Video Material,91.1
1,2013,Coke and Refined Petroleum Production,48.8
1,2013,Chemicals and Chemical Products Production,89.7
1,2013,Basic Pharmaceutical Products and Remedies Production,97.1
1,2013,Rubber and Plastic Production,75.0
1,2013,Manufacture of Other Non-metallic Minerals Products,35.2
1,2013,Base Metals Production,53.0
1,2013,"Fabricated Metal Products Production, Except Machinery and Equipment",132.4
1,2013,"Computer, Electronic and Optical Products Production",100.1
1,2013,Electrical Equipment Production,67.5
1,2013,Unmentioned Machinery and Equipment Production,76.5
1,2013,"Motor Vehicles, Trailers and Semi-trailer Production",85.6
1,2013,Other Transport Equipment Production,82.6
1,2013,Furniture Production,92.6
1,2013,Other Manufacturing,39.1
1,2013,Repair and Installation of Machinery Equipment,100.4
1,2013,"Electricity, Gas, Steam and Air Conditioning Supply",121.2
1,2013,B - Mining,112.4
1,2013,C - Manufacturing Industry,73.5
1,2013,"D - Electricity, Gas, Steam and Air Conditioning Supply",121.2
1,2014,Total,84.3
1,2014,Coal Exploitation,113.6
1,2014,Oil and Natural Gas Exploitation,114.2
1,2014,Metal Ore Exploitation,129.0
1,2014,Other Types of Mining,28.2
1,2014,Food Products Production,75.7
1,2014,Drink Production,67.1
1,2014,Tobacoo Products Production,22.9
1,2014,Textile Production,69.6
1,2014,Clothing Production,85.1
1,2014,Leather and Leater Item Production,83.0
1,2014,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",84.8
1,2014,Paper and Paper Products Production,86.0
1,2014,Printing and Duplication of Audio and Video Material,71.5
1,2014,Coke and Refined Petroleum Production,90.0
1,2014,Chemicals and Chemical Products Production,112.3
1,2014,Basic Pharmaceutical Products and Remedies Production,70.4
1,2014,Rubber and Plastic Production,73.9
1,2014,Manufacture of Other Non-metallic Minerals Products,42.4
1,2014,Base Metals Production,74.4
1,2014,"Fabricated Metal Products Production, Except Machinery and Equipment",77.9
1,2014,"Computer, Electronic and Optical Products Production",81.3
1,2014,Electrical Equipment Production,76.3
1,2014,Unmentioned Machinery and Equipment Production,46.2
1,2014,"Motor Vehicles, Trailers and Semi-trailer Production",96.7
1,2014,Other Transport Equipment Production,206.4
1,2014,Furniture Production,80.2
1,2014,Other Manufacturing,63.9
1,2014,Repair and Installation of Machinery Equipment,94.3
1,2014,"Electricity, Gas, Steam and Air Conditioning Supply",113.3
1,2014,B - Mining,107.4
1,2014,C - Manufacturing Industry,76.2
1,2014,"D - Electricity, Gas, Steam and Air Conditioning Supply",113.3
1,2015,Total,84.1
1,2015,Coal Exploitation,96.1
1,2015,Oil and Natural Gas Exploitation,104.2
1,2015,Metal Ore Exploitation,91.7
1,2015,Other Types of Mining,31.5
1,2015,Food Products Production,82.2
1,2015,Drink Production,66.5
1,2015,Tobacoo Products Production,64.1
1,2015,Textile Production,72.2
1,2015,Clothing Production,83.8
1,2015,Leather and Leater Item Production,95.4
